town_id,town_name,country_id,timezone_id
1,Friedberg,8,11
2,Carlos Barbosa,1,28
3,Hlukhiv,16,20
4,Ilopango,4,8
5,Bonoua,7,29
6,Ar Ruseris,14,19
7,Bachhraon,5,15
8,Charlottenburg-Nord,8,11
9,Valence,19,16
10,Calauan,25,1
11,Ueno-ebisumachi,13,14
12,Gainesville,2,9
13,Pujali,5,15
14,South Whittier,2,22
15,Jashpurnagar,5,15
16,Split,9,13
17,Malaut,5,15
18,Ajdabiya,17,30
19,Longview,2,12
20,Catania,22,6
21,El Achir,15,10
22,Magomeni,18,5
23,Motomachi,13,14
24,Smolyan,20,18
25,Dublin,2,9
26,Tonota,11,2
27,Licheng,26,24
28,Acayucan,21,26
29,Zacoalco de Torres,21,26
30,Brunswick,2,9
31,Weimar,8,11
32,Reus,12,4
33,Gifhorn,8,11
34,Salima,23,17
35,La Ligua,24,25
36,Markham,6,21
37,Resplendor,1,28
38,Wangon,27,3
39,Kahului,2,27
40,Siliana,10,7
41,Fujioka,13,14
42,Efon-Alaaye,3,23
43,Bensheim,8,11
44,Yonkers,2,9
45,Oschatz,8,11
